"ID","country","Q24A","Q85A","Q85B","Q85C","Q85D","q100us"
"768","19","2","4","3","4","2","2"
"769","19","2","3","1","1","3","2"
"770","19","2","4","2","4","4","2"
"771","19","8","2","1","1","2","8"
"772","19","2","4","1","1","2","1"
"773","19","2","4","4","4","4","1"
"774","19","2","4","1","2","1","2"
"775","19","2","2","1","2","1","2"
"776","19","2","4","1","4","1","1"
"777","19","2","3","3","3","3","1"
"778","19","2","1","1","1","1","1"
"779","19","8","1","1","1","1","8"
"780","19","2","1","1","2","2","2"
"781","19","2","3","1","1","1","1"
"782","19","2","1","1","1","1","1"
"783","19","2","2","1","4","1","1"
"784","19","8","3","1","1","2","2"
"785","19","2","3","1","3","2","2"
"786","19","2","3","1","4","2","2"
"787","19","1","3","1","4","1","1"
"788","19","2","2","1","2","1","2"
"789","19","2","1","1","1","1","2"
"790","19","2","4","3","4","4","2"
"791","19","2","1","1","1","2","2"
"792","19","2","3","1","3","1","1"
"793","19","2","2","3","8","2","9"
"794","19","2","3","1","3","1","1"
"795","19","2","1","1","1","1","2"
"796","19","8","1","1","2","1","1"
"797","19","8","1","1","3","2","1"
"798","19","2","3","2","4","3","1"
"799","19","2","4","1","1","1","1"
"800","19","1","2","2","2","1","1"
"801","19","2","3","1","8","1","2"
"802","19","2","1","1","4","4","1"
"803","19","2","4","4","4","3","2"
"804","19","2","1","2","1","1","3"
"805","19","2","2","1","1","2","1"
"806","19","2","1","2","2","2","1"
"807","19","2","3","3","3","2","1"
"808","19","2","1","1","1","1","3"
"809","19","2","1","1","4","4","2"
"810","19","2","3","2","3","2","1"
"811","19","2","2","1","4","2","2"
"812","19","2","3","1","4","3","2"
"813","19","2","1","2","4","2","4"
"814","19","2","4","2","4","2","1"
"815","19","1","3","1","2","2","1"
"816","19","2","2","1","1","2","1"
"817","19","2","4","2","3","3","1"
"818","19","2","1","1","1","4","2"
"819","19","2","1","2","2","1","2"
"820","19","1","3","1","1","1","4"
"821","19","2","1","1","1","1","4"
"822","19","2","4","1","4","2","1"
"823","19","2","2","1","3","2","1"
"824","19","2","2","3","4","2","2"
"825","19","2","2","1","1","2","1"
"826","19","1","2","2","3","1","2"
"827","19","2","1","1","3","1","3"
"828","19","2","3","2","3","2","2"
"829","19","2","1","2","4","2","1"
"830","19","1","4","4","4","2","1"
"831","19","2","1","1","1","1","2"
"832","19","1","2","3","2","3","2"
"833","19","1","1","1","1","1","1"
"834","19","2","1","1","4","1","2"
"835","19","2","1","1","2","2","2"
"836","19","2","1","1","1","1","2"
"837","19","2","2","2","9","9","2"
"838","19","2","4","1","4","2","1"
"839","19","2","1","1","4","2","1"
"840","19","2","2","1","1","1","1"
"841","19","1","1","1","3","3","1"
"842","19","2","4","9","9","1","2"
"843","19","2","2","2","2","1","1"
"844","19","2","2","2","4","3","1"
"845","19","2","4","2","4","2","2"
"846","19","2","2","1","1","2","3"
"847","19","2","1","2","3","2","2"
"848","19","1","1","1","1","1","4"
"849","19","2","3","1","3","2","2"
"850","19","2","2","1","4","2","1"
"851","19","2","3","1","1","1","2"
"852","19","2","3","1","3","2","1"
"853","19","2","1","1","1","1","8"
"854","19","2","2","1","2","2","1"
"855","19","2","4","2","4","2","1"
"856","19","2","4","1","3","2","3"
"857","19","2","4","2","4","3","1"
"858","19","2","4","1","4","4","1"
"859","19","2","1","1","1","1","2"
"860","19","2","1","1","1","2","1"
"861","19","2","1","1","1","1","2"
"862","19","2","1","1","1","2","1"
"863","19","2","1","1","1","2","2"
"864","19","2","2","1","1","1","1"
"865","19","2","2","2","2","1","1"
"866","19","2","2","1","2","2","1"
"867","19","2","1","1","1","1","2"
"868","19","2","3","1","2","1","2"
"869","19","2","3","1","4","1","2"
"870","19","1","3","2","4","1","2"
"871","19","1","2","1","4","1","2"
"872","19","2","2","1","3","1","1"
"873","19","2","1","1","2","1","3"
"874","19","8","3","1","2","3","1"
"875","19","2","1","1","2","1","1"
"876","19","2","3","1","1","1","1"
"877","19","1","1","1","1","1","2"
"878","19","2","2","1","1","1","3"
"879","19","2","1","1","2","1","2"
"880","19","1","4","4","3","1","1"
"881","19","1","3","2","3","2","1"
"882","19","2","4","2","4","3","2"
"883","19","2","2","1","1","1","1"
"884","19","2","4","2","4","2","1"
"885","19","1","3","1","1","2","1"
"886","19","2","4","1","4","2","1"
"887","19","2","1","1","2","1","3"
"888","19","2","4","2","4","4","1"
"889","19","2","4","2","4","3","2"
"890","19","1","1","1","3","3","1"
"891","19","2","2","1","2","1","1"
"892","19","2","2","1","3","2","1"
"893","19","2","3","2","4","2","8"
"894","19","2","1","1","1","1","1"
"895","19","2","3","1","4","1","2"
"896","19","2","1","1","2","1","2"
"897","19","2","1","1","2","2","1"
"898","19","2","1","1","2","1","2"
"899","19","2","3","1","2","2","1"
"900","19","2","2","1","3","3","1"
"901","19","2","4","1","4","2","1"
"902","19","2","4","2","4","1","1"
"903","19","2","4","1","2","1","1"
"904","19","2","2","1","1","2","1"
"905","19","2","2","1","3","2","1"
"906","19","2","2","1","3","2","2"
"907","19","2","4","1","1","2","2"
"908","19","2","4","1","2","1","1"
"909","19","1","2","1","2","2","2"
"910","19","2","2","1","1","1","2"
"911","19","2","1","1","1","1","3"
"912","19","2","3","1","1","1","2"
"913","19","1","1","1","1","1","1"
"914","19","2","3","1","1","1","2"
"915","19","2","4","2","4","1","1"
"916","19","2","2","2","4","4","1"
"917","19","1","1","1","2","2","1"
"918","19","2","4","1","4","2","2"
"919","19","2","3","1","3","2","2"
"920","19","2","1","1","1","1","1"
"921","19","2","1","1","3","2","2"
"922","19","2","2","1","2","1","1"
"923","19","2","4","1","4","2","1"
"924","19","2","4","1","4","2","2"
"925","19","2","3","1","4","2","2"
"926","19","2","1","1","1","1","4"
"927","19","2","4","1","1","2","1"
"928","19","2","2","1","2","1","2"
"929","19","2","3","2","3","2","1"
"930","19","8","1","1","1","1","1"
"931","19","2","3","1","2","1","1"
"932","19","2","1","1","2","1","2"
"933","19","2","4","1","2","1","2"
"934","19","2","4","1","3","1","2"
"935","19","2","2","3","3","3","1"
"936","19","2","4","2","4","4","1"
"937","19","1","3","2","3","3","1"
"938","19","2","4","3","4","4","1"
"939","19","2","2","1","4","1","1"
"940","19","2","4","2","4","3","1"
"941","19","1","3","2","4","2","2"
"942","19","2","3","1","1","2","3"
"943","19","1","1","1","3","4","2"
"944","19","2","1","1","1","1","1"
"945","19","2","2","2","2","1","2"
"946","19","2","3","1","4","3","2"
"947","19","2","1","1","1","1","2"
"948","19","2","2","1","1","1","2"
"949","19","2","2","1","2","2","1"
"950","19","2","1","1","1","2","1"
"951","19","2","1","1","1","1","1"
"952","19","1","1","1","1","1","1"
"953","19","2","1","1","2","1","1"
"954","19","2","2","2","4","3","1"
"955","19","2","2","1","1","1","1"
"956","19","2","4","3","4","4","1"
"957","19","2","4","1","3","2","2"
"958","19","2","4","2","4","2","1"
"959","19","2","3","1","1","1","2"
"960","19","2","1","1","2","2","1"
"961","19","2","3","2","4","3","9"
"962","19","2","2","1","2","2","3"
"963","19","2","3","1","1","1","3"
"964","19","2","3","2","4","1","1"
"965","19","2","3","1","3","2","1"
"966","19","2","2","1","3","1","2"
"967","19","1","3","1","4","2","1"
"968","19","2","3","2","4","2","1"
"969","19","2","4","4","4","1","1"
"970","19","1","4","3","4","2","1"
"971","19","2","1","1","1","1","2"
"972","19","2","1","1","1","1","1"
"973","19","2","3","1","4","2","2"
"974","19","2","1","1","2","1","1"
"975","19","2","1","1","1","1","3"
"976","19","2","3","1","4","1","1"
"977","19","2","2","2","3","2","2"
"978","19","2","3","3","4","3","1"
"979","19","2","1","1","2","2","2"
"980","19","2","3","1","3","2","1"
"981","19","2","1","1","1","1","2"
"982","19","8","4","2","4","4","3"
"983","19","8","3","1","1","1","1"
"984","19","2","1","1","1","1","3"
"985","19","2","2","1","2","2","2"
"986","19","2","3","1","1","1","1"
"987","19","2","3","2","3","2","1"
"988","19","2","3","1","3","1","2"
"989","19","2","1","1","4","1","1"
"990","19","2","3","1","1","2","1"
"991","19","2","3","1","3","1","1"
"992","19","2","3","1","2","1","3"
"993","19","2","4","1","4","1","2"
"994","19","2","2","1","1","1","1"
"995","19","1","1","1","8","2","3"
"996","19","2","2","1","3","1","2"
"997","19","2","3","2","1","2","2"
"998","19","1","2","2","1","1","1"
"999","19","1","1","1","1","1","1"
"1000","19","2","2","1","2","2","1"
"1001","19","2","3","2","4","2","1"
"1002","19","2","2","1","2","1","1"
"1003","19","2","1","1","3","1","2"
