"ID","country","Q24A","Q85A","Q85B","Q85C","Q85D","q100us"
"321","19","1","3","2","4","4","1"
"322","19","2","4","2","4","4","4"
"323","19","2","4","2","4","3","1"
"324","19","2","4","1","4","4","2"
"325","19","1","4","1","2","2","1"
"326","19","8","1","1","1","1","2"
"327","19","1","1","1","1","1","2"
"328","19","2","2","1","1","2","3"
"329","19","8","4","4","1","4","2"
"330","19","2","3","1","1","1","1"
"331","19","2","4","2","3","3","1"
"332","19","1","2","1","2","2","1"
"333","19","2","3","1","3","1","1"
"334","19","8","3","2","8","8","1"
"335","19","2","3","1","4","2","1"
"336","19","1","1","1","1","1","8"
"337","19","2","1","1","1","1","1"
"338","19","2","4","1","2","1","1"
"339","19","2","4","1","4","2","2"
"340","19","2","2","1","2","1","2"
"341","19","2","1","1","1","2","8"
"342","19","2","1","3","3","4","1"
"343","19","2","1","2","3","2","1"
"344","19","2","1","1","1","1","4"
"345","19","8","3","2","1","2","1"
"346","19","2","4","3","4","2","2"
"347","19","2","4","1","3","3","2"
"348","19","2","3","1","2","1","3"
"349","19","2","4","3","3","1","1"
"350","19","2","2","2","2","1","4"
"351","19","2","2","2","4","2","1"
"352","19","2","2","1","3","2","1"
"353","19","2","2","1","3","2","1"
"354","19","8","2","1","3","1","2"
"355","19","2","3","1","4","1","3"
"356","19","2","2","4","4","3","1"
"357","19","2","3","2","3","1","2"
"358","19","2","1","2","1","2","2"
"359","19","8","3","2","4","1","1"
"360","19","2","4","1","4","3","2"
"361","19","2","2","1","1","1","1"
"362","19","2","3","2","4","2","4"
"363","19","1","3","1","4","3","1"
"364","19","2","1","1","1","1","2"
"365","19","2","3","1","3","1","1"
"366","19","1","1","1","1","1","2"
"367","19","2","1","1","1","2","2"
"368","19","2","2","4","4","1","1"
"369","19","2","3","2","4","3","1"
"370","19","2","1","1","1","1","1"
"371","19","8","2","1","2","2","8"
"372","19","1","3","4","1","2","1"
"373","19","2","4","4","4","2","1"
"374","19","2","1","1","2","1","1"
"375","19","1","1","1","2","1","1"
"376","19","2","1","1","1","1","1"
"377","19","2","3","2","1","2","1"
"378","19","2","2","1","2","1","1"
"379","19","2","2","1","3","1","2"
"380","19","2","3","1","3","1","2"
"381","19","2","3","3","4","2","1"
"382","19","8","1","1","1","1","2"
"383","19","2","1","4","4","4","2"
"384","19","1","2","1","2","2","1"
"385","19","2","2","2","4","3","2"
"386","19","2","2","1","1","2","1"
"387","19","1","2","1","2","1","1"
"388","19","1","1","1","1","1","2"
"389","19","2","4","2","4","4","1"
"390","19","2","2","1","2","1","1"
"391","19","2","1","1","2","2","2"
"392","19","2","1","1","3","1","1"
"393","19","2","1","1","2","2","2"
"394","19","1","1","4","1","1","1"
"395","19","2","4","1","4","4","1"
"396","19","2","1","1","1","1","3"
"397","19","2","4","1","4","2","3"
"398","19","2","1","1","1","1","2"
"399","19","2","4","2","4","2","2"
"400","19","2","1","1","1","3","1"
"401","19","1","3","1","3","1","2"
"402","19","1","1","1","1","1","2"
"403","19","2","3","1","8","1","1"
"404","19","1","1","1","1","1","2"
"405","19","2","2","1","1","1","2"
"406","19","2","2","1","4","2","3"
"407","19","2","3","1","2","1","1"
"408","19","1","2","1","4","1","1"
"409","19","2","1","1","3","1","2"
"410","19","2","4","3","3","2","2"
"411","19","2","2","2","2","2","2"
"412","19","2","1","1","1","1","1"
"413","19","2","2","2","4","1","2"
"414","19","8","2","1","4","2","1"
"415","19","2","1","2","4","1","1"
"416","19","2","3","3","3","2","1"
"417","19","2","2","1","1","1","2"
"418","19","1","1","2","1","2","1"
"419","19","2","1","1","1","1","2"
"420","19","2","3","1","1","1","2"
"421","19","8","1","1","1","1","8"
"422","19","2","3","1","3","1","2"
"423","19","1","1","1","1","1","2"
"424","19","8","1","1","1","1","2"
"425","19","2","3","2","4","3","1"
"426","19","2","3","1","2","1","1"
"427","19","2","1","1","2","2","2"
"428","19","2","4","3","4","3","2"
"429","19","8","1","1","2","2","1"
"430","19","2","1","1","1","1","1"
"431","19","2","3","2","3","2","1"
"432","19","2","4","4","4","2","1"
"433","19","2","2","2","3","2","1"
"434","19","2","3","1","3","1","2"
"435","19","1","2","2","2","2","1"
"436","19","2","4","1","1","4","2"
"437","19","2","3","1","1","1","2"
"438","19","2","1","1","1","1","1"
"439","19","2","4","4","4","4","1"
"440","19","2","3","1","2","1","1"
"441","19","9","2","1","1","1","1"
"442","19","2","3","1","3","4","2"
"443","19","2","2","1","8","2","1"
"444","19","2","1","1","1","1","2"
"445","19","2","3","1","2","1","2"
"446","19","2","2","1","2","2","1"
"447","19","1","2","2","2","1","2"
"448","19","2","1","1","1","1","1"
"449","19","2","1","1","1","1","2"
"450","19","1","3","2","2","2","1"
"451","19","2","3","2","2","1","1"
"452","19","1","2","4","4","4","3"
"453","19","2","2","2","1","2","2"
"454","19","8","4","2","4","4","4"
"455","19","1","1","1","1","1","2"
"456","19","2","2","1","1","2","2"
"457","19","2","3","1","1","2","1"
"458","19","2","4","2","4","1","1"
"459","19","2","1","1","4","4","2"
"460","19","2","2","2","4","2","4"
"461","19","1","3","1","3","2","1"
"462","19","2","4","1","2","1","1"
"463","19","2","3","1","3","2","3"
"464","19","2","3","2","4","2","1"
"465","19","2","4","2","4","3","2"
"466","19","2","4","4","4","4","1"
"467","19","1","1","1","2","1","1"
"468","19","2","2","1","2","1","8"
"469","19","2","2","1","1","1","1"
"470","19","2","4","1","4","2","1"
"471","19","2","2","3","3","3","1"
"472","19","2","3","3","4","1","1"
"473","19","8","2","1","1","1","8"
"474","19","2","1","1","1","1","1"
"475","19","2","4","2","4","2","1"
"476","19","2","3","1","2","2","1"
"477","19","1","1","1","1","2","1"
"478","19","2","1","1","1","2","2"
"479","19","2","4","2","4","1","1"
"480","19","2","2","1","2","3","2"
"481","19","2","3","1","3","1","1"
"482","19","8","3","2","4","2","1"
"483","19","2","2","1","1","2","1"
"484","19","2","2","1","1","1","1"
"485","19","2","8","1","3","2","3"
"486","19","2","1","1","1","1","2"
"487","19","1","2","1","1","1","2"
"488","19","2","1","1","1","4","1"
"489","19","2","2","1","3","1","1"
"490","19","2","3","2","4","3","3"
"491","19","2","2","1","2","1","1"
"492","19","2","2","1","1","1","2"
"493","19","2","2","2","4","4","2"
"494","19","2","3","2","3","2","2"
"495","19","1","2","1","2","2","2"
"496","19","2","1","1","4","2","1"
"497","19","2","1","1","1","1","2"
"498","19","2","4","1","3","1","1"
"499","19","2","1","1","1","1","1"
"500","19","2","4","1","4","2","1"
"501","19","2","4","2","4","2","1"
"502","19","2","1","1","2","1","1"
"503","19","2","4","1","4","4","1"
"504","19","2","1","1","1","1","3"
"505","19","2","4","2","4","2","2"
"506","19","2","1","1","1","1","8"
"507","19","1","3","2","1","1","1"
"508","19","2","3","2","4","2","1"
"509","19","1","2","1","2","1","4"
"510","19","2","2","1","2","1","2"
"511","19","2","2","2","4","2","1"
"512","19","2","4","2","3","2","1"
"513","19","2","4","2","4","2","4"
"514","19","2","2","1","1","2","1"
"515","19","2","1","1","1","1","1"
"516","19","2","3","2","4","2","1"
"517","19","2","8","1","4","1","2"
"518","19","1","1","1","4","1","1"
"519","19","2","4","1","1","1","1"
"520","19","2","2","1","2","1","2"
"521","19","1","3","1","1","2","1"
"522","19","2","1","1","3","2","1"
"523","19","1","3","1","3","2","1"
"524","19","2","1","1","2","1","2"
"525","19","2","4","1","4","2","2"
"526","19","1","2","1","2","1","1"
"527","19","2","1","1","4","2","1"
"528","19","2","3","1","4","2","2"
"529","19","2","4","1","1","1","2"
"530","19","2","2","1","4","4","1"
"531","19","2","1","1","1","1","2"
"532","19","2","2","1","2","1","1"
"533","19","2","3","1","1","2","1"
"534","19","2","1","2","1","1","2"
"535","19","2","4","1","1","2","1"
"536","19","2","3","1","2","1","1"
"537","19","2","1","1","1","3","2"
"538","19","2","1","2","2","3","4"
"539","19","2","3","1","2","1","1"
"540","19","9","2","1","1","2","4"
"541","19","1","1","1","2","2","1"
"542","19","2","1","1","1","1","1"
"543","19","2","4","1","4","2","4"
"544","19","2","1","2","4","2","1"
"545","19","2","1","1","1","1","2"
"546","19","2","2","1","1","1","1"
"547","19","2","2","2","3","1","2"
"548","19","1","1","1","2","1","2"
"549","19","2","3","1","1","2","1"
"550","19","2","3","1","1","1","1"
"551","19","2","1","1","1","1","2"
"552","19","2","1","4","2","4","2"
"553","19","2","3","2","4","2","1"
"554","19","2","4","2","3","3","1"
"555","19","2","2","1","1","2","1"
"556","19","2","3","1","4","2","2"
"557","19","2","4","3","4","2","1"
"558","19","2","1","1","1","1","2"
"559","19","2","1","1","1","1","3"
"560","19","2","3","1","3","2","2"
"561","19","1","3","1","4","1","1"
"562","19","2","2","1","1","1","3"
"563","19","2","2","1","2","1","3"
"564","19","2","3","2","4","2","1"
"565","19","1","3","3","4","2","1"
"566","19","8","3","1","2","2","4"
"567","19","2","4","2","2","1","2"
"568","19","8","2","2","2","2","2"
"569","19","2","1","1","3","1","1"
"570","19","1","8","1","4","8","2"
"571","19","2","2","1","1","1","2"
"572","19","2","2","1","4","2","1"
"573","19","2","3","1","3","2","1"
"574","19","2","2","2","1","1","4"
"575","19","2","1","1","4","1","1"
"576","19","2","2","1","3","1","1"
"577","19","2","3","1","1","1","3"
"578","19","1","4","2","1","3","4"
"579","19","2","4","1","4","2","4"
"580","19","2","2","1","2","1","1"
"581","19","2","3","1","3","2","1"
"582","19","2","2","2","2","2","1"
"583","19","2","2","1","1","2","1"
"584","19","2","1","1","1","2","1"
"585","19","2","1","1","4","4","1"
"586","19","2","3","1","2","1","2"
"587","19","2","2","1","2","1","8"
"588","19","1","2","2","1","1","2"
"589","19","2","2","1","3","1","2"
"590","19","8","4","2","4","2","8"
"591","19","2","4","2","4","3","2"
"592","19","2","4","1","1","2","2"
"593","19","2","4","4","4","1","2"
"594","19","2","2","3","3","3","3"
"595","19","2","4","1","4","1","2"
"596","19","2","4","2","4","4","1"
"597","19","2","2","1","3","1","3"
"598","19","2","3","2","3","2","1"
"599","19","2","4","1","1","2","1"
"600","19","2","3","1","3","2","2"
"601","19","1","2","1","1","1","1"
"602","19","2","3","1","3","2","2"
"603","19","2","4","1","3","2","1"
"604","19","2","4","4","4","2","4"
"605","19","9","4","3","4","3","2"
"606","19","2","3","1","2","1","2"
"607","19","2","1","1","4","2","1"
"608","19","2","1","1","3","1","2"
"609","19","2","3","1","4","3","1"
"610","19","2","4","2","4","3","2"
"611","19","2","1","1","3","1","1"
"612","19","2","3","1","1","1","4"
"613","19","2","1","1","4","1","2"
"614","19","2","1","1","2","2","2"
"615","19","1","1","1","1","3","2"
"616","19","2","4","2","3","2","8"
"617","19","2","1","1","2","2","1"
"618","19","2","2","1","3","1","2"
"619","19","2","3","1","2","1","2"
"620","19","2","3","3","4","3","1"
"621","19","2","4","1","4","1","2"
"622","19","2","4","1","4","3","2"
"623","19","8","1","1","4","3","1"
"624","19","2","1","1","1","1","9"
"625","19","2","1","1","2","2","1"
"626","19","2","3","1","3","1","2"
"627","19","1","1","1","4","2","2"
"628","19","2","8","1","8","2","1"
"629","19","1","2","2","4","2","1"
"630","19","2","4","2","4","2","1"
"631","19","2","1","1","1","1","1"
"632","19","2","4","1","4","2","2"
"633","19","2","4","1","4","1","1"
"634","19","2","2","1","2","2","1"
"635","19","2","2","2","2","2","1"
"636","19","1","1","1","2","1","2"
"637","19","2","3","2","4","2","1"
"638","19","2","3","1","2","2","2"
"639","19","2","3","1","1","2","2"
"640","19","2","4","1","4","2","3"
"641","19","8","3","3","4","8","4"
"642","19","2","1","1","1","1","1"
"643","19","2","3","8","1","1","2"
"644","19","2","1","1","1","2","1"
"645","19","2","3","1","3","1","1"
"646","19","2","4","2","4","1","1"
"647","19","8","4","3","4","1","2"
"648","19","2","8","1","1","1","1"
"649","19","2","3","2","2","2","2"
"650","19","2","3","3","4","2","2"
"651","19","2","1","1","1","1","2"
"652","19","2","1","1","1","1","4"
"653","19","2","2","2","3","2","2"
"654","19","1","4","3","3","1","3"
"655","19","1","3","2","4","3","1"
"656","19","2","3","2","4","2","2"
"657","19","2","4","3","4","4","1"
"658","19","2","3","1","1","1","1"
"659","19","2","4","3","4","1","2"
"660","19","2","4","1","3","2","2"
"661","19","2","4","3","4","3","1"
"662","19","2","2","1","1","2","1"
"663","19","2","1","1","4","1","1"
"664","19","2","2","1","1","2","2"
"665","19","2","3","1","3","3","1"
"666","19","1","3","1","3","2","1"
"667","19","2","3","1","4","3","1"
"668","19","2","1","1","3","2","8"
"669","19","2","1","1","1","4","1"
"670","19","2","4","1","4","4","2"
"671","19","2","1","1","2","1","1"
"672","19","2","4","1","3","1","2"
"673","19","2","3","1","4","1","3"
"674","19","2","3","2","4","3","1"
"675","19","2","1","1","2","1","1"
"676","19","8","2","1","4","3","4"
"677","19","1","3","1","2","2","1"
"678","19","2","1","1","4","2","1"
"679","19","2","2","1","4","1","1"
"680","19","2","4","2","4","2","1"
"681","19","9","1","1","3","1","1"
"682","19","2","4","2","4","2","1"
"683","19","8","2","1","4","1","2"
"684","19","1","3","2","4","2","1"
"685","19","2","1","1","1","1","1"
"686","19","2","2","1","1","2","1"
"687","19","2","1","1","1","4","2"
"688","19","2","4","1","3","1","1"
"689","19","2","3","2","4","1","2"
"690","19","1","1","4","4","4","1"
"691","19","2","4","1","3","1","1"
"692","19","2","4","1","3","1","2"
"693","19","2","1","1","4","1","2"
"694","19","1","1","1","2","2","4"
"695","19","2","1","1","1","1","2"
"696","19","2","3","1","1","1","2"
"697","19","2","2","2","3","1","1"
"698","19","2","4","1","3","2","1"
"699","19","1","2","1","4","2","2"
"700","19","2","2","1","4","2","1"
"701","19","2","4","2","4","3","2"
"702","19","2","4","2","2","2","2"
"703","19","2","1","3","3","2","2"
"704","19","2","4","1","4","2","1"
"705","19","1","2","2","4","1","2"
"706","19","2","3","1","4","2","1"
"707","19","2","3","1","4","1","2"
"708","19","2","2","1","1","1","1"
"709","19","2","1","1","4","1","1"
"710","19","2","4","4","4","3","1"
"711","19","2","1","1","1","1","1"
"712","19","2","3","2","1","2","2"
"713","19","2","1","1","1","1","2"
"714","19","2","1","1","1","1","4"
"715","19","2","3","2","4","2","4"
"716","19","2","4","2","4","2","1"
"717","19","2","2","1","3","1","1"
"718","19","2","2","1","2","1","2"
"719","19","1","1","1","1","1","1"
"720","19","2","1","1","2","3","2"
"721","19","2","2","2","2","2","4"
"722","19","2","2","1","2","1","2"
"723","19","2","2","9","4","4","2"
"724","19","2","4","1","2","1","1"
"725","19","2","3","1","1","2","2"
"726","19","2","1","4","3","1","1"
"727","19","2","1","1","1","2","2"
"728","19","2","4","2","2","2","2"
"729","19","1","3","2","3","2","1"
"730","19","2","1","2","1","1","1"
"731","19","2","4","2","4","3","2"
"732","19","2","3","3","3","2","3"
"733","19","2","3","1","1","2","1"
"734","19","8","1","1","1","1","3"
"735","19","2","1","2","4","1","2"
"736","19","2","4","2","3","2","8"
"737","19","2","1","1","1","2","2"
"738","19","2","4","2","4","1","1"
"739","19","2","1","2","1","2","2"
"740","19","2","4","2","4","2","2"
"741","19","9","4","2","3","2","1"
