"ID","country","Q2","Q4","Q5","Q6","Q6N","Q7","Q23","Q30","Q46a","Q46b","Q46c"
"8801","3","2","2","3","3","1","1","2","1","1","1","1"
"8802","3","1","1","2","4","1","1","2","1","1","2","2"
"8803","3","1","1","3","3","1","1","2","2","1","2","2"
"8804","3","2","2","3","4","1","1","2","3","2","1","1"
"8805","3","1","2","2","2","1","1","2","1","2","2","2"
"8806","3","2","1","3","3","1","1","2","3","2","2","1"
"8807","3","1","1","2","2","1","1","2","1","1","1","1"
"8808","3","1","1","3","3","1","1","2","3","1","1","1"
"8809","3","2","2","3","4","1","1","2","2","2","2","1"
"8810","3","2","2","3","3","1","1","2","1","1","1","2"
"8811","3","2","2","3","2","1","1","2","2","1","1","1"
"8812","3","1","2","2","3","1","1","2","1","2","1","1"
"8813","3","2","2","3","3","1","1","2","2","2","1","1"
"8814","3","1","1","3","4","1","1","2","1","1","2","1"
"8815","3","1","2","3","1","3","1","1","1","1","1","1"
"8816","3","2","2","3","2","1","1","1","3","2","1","2"
"8817","3","1","3","2","3","3","1","1","1","2","1","2"
"8818","3","1","3","2","2","2","2","1","2","1","1","1"
"8819","3","2","2","3","2","2","1","2","2","1","2","2"
"8820","3","1","2","2","2","1","1","98","2","2","2","2"
"8821","3","1","3","3","2","2","2","2","8","2","1","1"
"8822","3","1","2","3","3","1","1","5","3","2","1","2"
"8823","3","1","2","3","2","2","2","2","3","2","1","2"
"8824","3","2","1","3","1","8","1","97","3","2","1","2"
"8825","3","2","2","3","3","1","2","2","2","2","2","2"
"8826","3","1","2","2","2","1","1","2","2","1","1","2"
"8827","3","1","1","2","2","1","1","2","3","1","1","2"
"8828","3","1","2","2","2","1","1","4","2","1","2","2"
"8829","3","1","2","2","2","1","1","2","2","1","2","1"
"8830","3","1","2","2","1","1","1","4","2","1","2","1"
"8831","3","1","1","2","2","1","1","2","2","1","1","2"
"8832","3","2","3","2","3","1","1","4","3","1","1","1"
"8833","3","1","2","2","3","1","1","2","2","1","1","1"
"8834","3","1","1","3","2","1","1","2","2","1","2","1"
"8835","3","1","2","2","1","1","1","2","3","1","1","1"
"8836","3","1","1","3","2","1","3","97","1","1","2","2"
"8837","3","1","2","2","2","3","3","1","1","1","1","1"
"8838","3","2","3","4","4","3","2","97","2","1","2","1"
"8839","3","1","2","3","1","1","3","1","1","1","1","1"
"8840","3","8","2","2","4","1","3","97","3","2","1","2"
"8841","3","1","3","2","1","1","8","1","3","1","2","2"
"8842","3","1","2","3","8","1","2","97","2","2","1","2"
"8843","3","1","2","3","8","3","1","4","1","1","2","1"
"8844","3","1","2","2","2","1","1","4","2","2","2","1"
"8845","3","1","1","2","1","1","1","3","1","1","2","1"
"8846","3","1","8","2","3","3","9","1","1","1","2","1"
"8847","3","1","3","2","3","1","1","2","1","2","1","1"
"8848","3","1","3","2","3","1","3","97","2","1","2","1"
"8849","3","8","8","2","1","1","1","1","2","2","2","2"
"8850","3","1","8","3","3","3","3","5","8","2","2","1"
"8851","3","1","2","2","1","1","1","2","3","1","1","1"
"8852","3","1","2","2","3","3","3","4","3","2","1","1"
"8853","3","2","2","2","2","1","1","1","2","1","2","2"
"8854","3","1","2","3","2","3","1","97","2","1","2","2"
"8855","3","2","3","2","3","2","1","98","1","1","1","2"
"8856","3","1","1","2","1","3","3","2","2","1","1","2"
