"ID","country","q3","Q10A","Q10B","Q24B","Q27A","Q27B","Q27C","Q27D","Q27E","Q27F","q56"
"284","19","2","1","3","1","2","1","1","1","2","2","1"
"285","19","3","2","1","2","1","1","1","1","1","1","1"
"286","19","8","1","3","1","2","1","1","1","1","1","1"
"287","19","3","1","3","2","2","1","2","1","1","2","1"
"288","19","4","1","3","1","2","1","8","1","1","2","3"
"289","19","2","1","2","1","2","1","2","1","1","2","1"
"290","19","8","8","4","2","2","2","1","2","1","1","3"
"291","19","4","2","2","2","2","1","2","1","1","1","2"
"292","19","3","1","2","1","2","1","2","1","1","2","1"
"293","19","1","3","1","1","1","1","2","2","1","2","2"
"294","19","3","1","2","1","1","1","2","2","1","2","2"
"295","19","2","1","2","1","1","1","2","1","1","1","2"
"296","19","4","1","3","8","2","8","2","8","2","2","2"
"297","19","2","1","8","1","1","2","1","1","1","1","3"
"298","19","2","2","2","1","1","1","1","1","1","1","1"
"299","19","4","4","4","2","2","2","8","1","1","1","4"
"300","19","2","2","2","1","2","1","2","1","1","2","2"
"301","19","2","2","2","2","2","1","1","2","1","2","2"
"302","19","3","2","2","2","1","1","1","1","2","1","1"
"303","19","2","2","8","1","2","1","2","1","2","1","1"
"304","19","3","2","3","1","1","1","1","2","2","1","1"
"305","19","3","2","3","2","1","1","1","2","1","1","1"
"306","19","3","4","2","2","1","1","1","1","9","1","1"
"307","19","2","2","3","1","1","2","2","2","1","1","1"
"308","19","2","1","1","1","2","2","1","1","1","1","2"
"309","19","3","2","3","1","2","1","2","1","1","2","2"
"310","19","2","3","3","1","2","1","1","1","2","1","2"
"311","19","2","2","2","2","2","1","1","2","2","1","1"
"312","19","2","1","9","1","1","1","1","1","1","2","2"
"313","19","2","2","3","1","1","1","1","2","1","1","1"
"314","19","2","2","3","1","1","1","1","2","1","1","1"
"315","19","3","1","3","1","2","1","2","1","1","2","2"
"316","19","3","2","2","1","1","1","1","1","1","1","1"
"317","19","8","1","8","1","2","1","2","1","1","2","2"
"318","19","2","1","3","1","1","1","2","2","1","2","1"
"319","19","2","1","2","1","1","1","2","2","1","1","1"
"320","19","2","2","3","1","2","1","2","1","1","1","1"
"321","19","3","3","2","1","1","1","1","2","1","1","1"
"322","19","2","1","2","1","1","2","1","1","1","1","1"
"323","19","4","2","3","2","1","1","1","2","1","1","1"
"324","19","2","2","4","1","2","8","1","2","2","1","1"
"325","19","4","1","9","2","9","9","9","9","9","9","2"
"326","19","4","1","1","2","2","1","2","2","1","1","1"
"327","19","2","1","4","1","1","1","1","1","1","1","2"
"328","19","3","1","2","1","2","2","1","1","1","1","2"
"329","19","8","2","8","8","1","1","2","1","2","8","1"
"330","19","4","2","2","1","2","1","2","2","1","2","1"
"331","19","2","2","3","1","1","1","1","2","1","1","1"
"332","19","2","2","2","1","1","1","1","2","2","1","1"
"333","19","2","1","3","2","2","2","2","1","1","2","1"
"334","19","2","1","2","1","2","1","1","1","1","1","1"
"335","19","3","2","2","2","2","1","1","1","1","1","2"
"336","19","3","1","8","1","2","1","1","1","2","2","1"
"337","19","2","1","2","1","2","1","2","1","1","2","1"
"338","19","2","1","4","2","2","1","2","1","1","2","2"
"339","19","3","1","3","1","1","1","1","1","1","1","1"
"340","19","4","1","2","2","2","1","2","1","1","1","1"
"341","19","3","2","2","1","1","1","2","1","1","2","1"
"342","19","3","3","2","2","2","1","1","1","1","1","1"
"343","19","3","3","3","1","1","1","1","2","2","1","1"
"344","19","4","1","3","2","2","1","2","1","1","2","3"
"345","19","4","2","3","2","1","1","1","8","1","1","1"
"346","19","4","1","8","2","1","1","1","2","1","1","1"
"347","19","4","3","3","2","1","2","1","1","1","1","3"
"348","19","2","1","2","1","8","1","2","1","1","2","2"
"349","19","3","3","3","2","1","1","2","1","1","2","1"
"350","19","2","1","2","2","2","1","1","2","1","2","1"
"351","19","2","2","2","1","1","1","2","1","1","1","1"
"352","19","2","1","3","2","1","1","2","2","1","1","1"
"353","19","2","3","3","2","1","2","1","2","2","1","1"
"354","19","2","1","2","1","2","1","1","1","1","1","1"
"355","19","4","3","3","2","1","2","2","1","2","1","2"
"356","19","1","1","1","1","1","1","1","2","1","1","1"
"357","19","2","1","8","2","2","1","1","1","2","1","1"
"358","19","3","1","4","1","1","1","2","1","1","1","1"
"359","19","4","2","2","1","2","2","1","2","1","1","1"
"360","19","2","1","4","1","1","1","1","1","1","1","1"
"361","19","4","2","4","1","1","1","1","2","1","1","1"
"362","19","4","2","3","2","1","1","2","1","1","1","3"
"363","19","2","1","3","1","1","1","1","1","1","1","2"
"364","19","2","2","3","1","2","1","2","1","1","2","2"
"365","19","4","1","2","1","2","1","2","1","1","2","2"
"366","19","4","1","2","8","2","1","2","1","1","2","2"
"367","19","4","2","2","1","1","1","1","1","1","1","1"
"368","19","2","2","4","1","1","1","2","1","1","2","1"
"369","19","2","2","3","2","1","1","1","2","2","1","1"
"370","19","1","1","2","1","2","1","2","1","1","2","1"
"371","19","2","3","2","1","1","2","1","1","1","1","2"
"372","19","2","2","1","2","1","1","1","1","1","1","2"
"373","19","4","1","3","1","1","1","1","1","1","1","2"
"374","19","4","2","3","2","2","1","1","1","2","1","1"
"375","19","2","3","1","2","2","1","1","2","1","1","2"
"376","19","4","4","3","2","1","2","1","1","1","1","3"
"377","19","3","2","3","1","2","1","2","1","2","2","1"
"378","19","4","2","2","2","2","1","1","2","8","1","1"
"379","19","3","1","3","2","2","1","2","1","1","2","3"
"380","19","4","1","3","1","2","2","1","1","1","1","2"
"381","19","2","1","2","2","1","1","2","2","1","1","1"
"382","19","4","4","3","2","2","1","2","1","1","2","2"
